party,name,region,contact
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεδίκογλου Βασιλείου Συμεών (Σίμος),ΕΥΒΟΙΑΣ,"info@kedikoglou.gr
http://www.kedikoglou.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κελέτσης Δημητρίου Σταύρος,ΕΒΡΟΥ,"s.keletsis@parliament.gr
https://keletsis.blogspot.com/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κέλλας Αχιλλέα Χρήστος,ΛΑΡΙΣΑΣ,"kellas.xristos@gmail.com
http://www.kellasxristos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεραμέως Κωνσταντίνου Νίκη,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"info@nikikerameus.gr
https://metiniki.gr/"
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Κεφαλά Ηλία Γεωργία (Τζώρτζια),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεφάλα Στεφάνου Μαρία - Αλεξάνδρα,ΙΩΑΝΝΙΝΩΝ,mar.kefala@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεφαλογιάννη Ιωάννη Όλγα,Α' ΑΘΗΝΩΝ,"ol.kefalogianni@parliament.gr
http://www.olgakefalogianni.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεφαλογιάννης Αχιλλέα Ιωάννης,ΡΕΘΥΜΝΗΣ,"g.kefalogiannis@parliament.gr
http://www.gianniskefalogiannis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κεφαλογιάννης Βασιλείου Κωνσταντίνος,ΗΡΑΚΛΕΙΟΥ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κικίλιας Παναγιώτη Βασίλειος,Α' ΑΘΗΝΩΝ,"vassilis.kikilias@kikilias.gr
http://www.kikilias.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Κόκκαλης Κωνσταντίνου Βασίλειος,ΛΑΡΙΣΑΣ,"vkokkalhs@gmail.com
v.kokkalis@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Κομνηνάκα Αποστόλου Μαρία,ΛΕΣΒΟΥ,m.komninaka@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κόνσολας Νικία Εμμανουήλ,ΔΩΔΕΚΑΝΗΣΟΥ,"konsolasmanos@gmail.com
http://www.konsolas.gr/"
ΣΠΑΡΤΙΑΤΕΣ,Κόντης Νικολάου Ιωάννης,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Κοντοτόλη Γεωργίου Μαρίνα,ΤΡΙΚΑΛΩΝ,"m.kontotoli@parliament.gr
marinakontotoli.press@gmail.com"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Κοτίδης Στυλιανού Βασίλειος,ΗΜΑΘΙΑΣ,vkotidis@yahoo.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κοτρωνιάς Νικολάου Γεώργιος,ΦΘΙΩΤΙΔΑΣ,"kotroniasg@gmail.com
g.kotronias@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κούβελας Σωτηρίου Δημήτριος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"kouvelas@dkouvelas.gr
https://www.dkouvelas.gr/"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Κουκουλόπουλος Δημητρίου Παρασκευάς (Πάρις),ΚΟΖΑΝΗΣ,p.koukoulopoulos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κουλκουδίνας Ευριπίδη Σπυρίδων,ΠΙΕΡΙΑΣ,"spiroskoulkoudinas@gmail.com

sp.koulkoudinas@parliament.gr
www.koulkoudinas.gr"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Κουπελόγλου Σάββα Συμεών,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"s.koupeloglou@parliament.gr
kopeloglousimos@gmail.com"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Κουρουπάκη Ιωάννη Ασπασία,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"a.kouroupaki@parliament.gr
nikh@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Κουτσούμπας Αποστόλου Δημήτριος,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,kke@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κρητικός Δημοσθένη Νεοκλής,ΛΑΚΩΝΙΑΣ,"neokliskritikos@gmail.com
n.krhtikos@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Κτενά Θεοφύλακτου Αφροδίτη,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κτιστάκης Νικολάου Ελευθέριος,ΒΟΙΩΤΙΑΣ,"e.ktistakis@parliament.gr
Lktistakis@yahoo.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κυρανάκης Ιωάννη - Παναγιώτη Κωνσταντίνος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"konstantinos@kyranakis.gr
http://www.kyranakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κυριαζίδης Τριαντάφυλλου Δημήτριος,ΔΡΑΜΑΣ,"dimitris@kyriazidis.com
www.kyriazidis.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κυριάκης Γεωργίου Σπυρίδων,ΠΡΕΒΕΖΑΣ,"kyriakisnd@gmail.com
www.kyriakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κωνσταντινίδης Κωνσταντίνου Ευστάθιος,ΚΟΖΑΝΗΣ,s.konstantinidis@parliament.gr
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,ΑΡΚΑΔΙΑΣ,"press.odysseas@gmail.com
https://odysseaskonstantinopoulos.gr/"
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Κωνσταντοπούλου Νικολάου Ζωή,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κώτσηρας Αναστασίου Γεώργιος,Β΄ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,g.kotsiras@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κωτσός Κωνσταντίνου Γεώργιος,ΚΑΡΔΙΤΣΑΣ,"g.kotsos@outlook.com
info@giorgoskotsos.gr
https://www.giorgoskotsos.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λαζαρίδης Βασιλείου Μακάριος,ΚΑΒΑΛΑΣ,"m.lazaridis@parliament.gr
https://www.mlazaridis.gr/.html"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λαμπρόπουλος Δημητρίου Ιωάννης,ΜΕΣΣΗΝΙΑΣ,"lampropoulos@parliament.gr
lampropk@otenet.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Λαμπρούλης Αριστείδη Γεώργιος,ΛΑΡΙΣΑΣ,"kke@parliament.gr
lab_giorgos@hotmail.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λεονταρίδης Χρήστου Θεόφιλος,ΣΕΡΡΩΝ,"leontaridis@parliament.gr
http://www.leontaridis-theofilos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λιάκος Γεωργίου Ευάγγελος,Β΄ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,"evangelos@liakosev.gr
http://liakosev.gr/"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Λιακούλη Θεοφάνη Ευαγγελία,ΛΑΡΙΣΑΣ,"e.liakouli@parliament.gr
http://www.liakouli.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λιβανός Ιωάννη Μιχαήλ,Β' ΠΕΙΡΑΙΩΣ,"mlivanosgr@yahoo.com
m.livanos@parliament.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Λινού Κωνσταντίνου Αθηνά,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"info@linou.gr
a.linou@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λιούτας Αχιλλέως Αθανάσιος,ΤΡΙΚΑΛΩΝ,athanasioslioutas4@gmail.com
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λοβέρδος Πέτρου Ιωάννης - Μιχαήλ (Γιάννης),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"jloverdos3@yahoo.gr
i.loverdos@parliament.gr
https://yiannisloverdos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Λυτρίβη Δημητρίου Ιωάννα,ΕΠΙΚΡΑΤΕΙΑΣ,i.lytrivi@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μακρή Μιχαήλ Ζωή (Ζέττα),ΜΑΓΝΗΣΙΑΣ,"zetta.makri@parliament.gr
zettamakri@yahoo.gr
http://www.zettamakri.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Μάλαμα Ιωάννη Κυριακή,ΧΑΛΚΙΔΙΚΗΣ,https://www.malama-kiriaki.com/
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Μαμουλάκης Αντωνίου Χαράλαμπος (Χάρης),ΗΡΑΚΛΕΙΟΥ,"ch.mamoulakis@parliament.gr
http://www.mamoulakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μάνη-Παπαδημητρίου Ευαγγέλου Άννα,ΠΙΕΡΙΑΣ,"annamanipapa@gmail.com
a.mani@parliament.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Μανούσος Εμμανουήλ Γεώργιος,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,g.manousos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μαντάς Παντελή Περικλής,ΜΕΣΣΗΝΙΑΣ,"p.mantas@parliament.gr
pmantas.grammateia@gmail.com
http://www.periklismantas.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Μάντζος Σωτηρίου Δημήτριος,ΕΠΙΚΡΑΤΕΙΑΣ,d.mantzos@parliament.gr
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Μανωλάκου Εμμανουήλ Διαμάντω,Β' ΠΕΙΡΑΙΩΣ,kke@parliament.gr
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Μαρίνος Βασιλείου Γεώργιος,ΕΥΒΟΙΑΣ,gmarinos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μαρκογιαννάκης Εμμανουήλ Αλέξανδρος,ΧΑΝΙΩΝ,"alexmarkogiannakis@gmail.com
www.markogiannakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μαρκόπουλος Κωνσταντίνου Δημήτριος,Β' ΠΕΙΡΑΙΩΣ,"markopoulos.grafeio@gmail.com
markopoulo@gmail.com
d.markopoulos@parliament.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Μεϊκόπουλος Μιχαήλ Αλέξανδρος,ΜΑΓΝΗΣΙΑΣ,"alexandros.meikopoulos@gmail.com
ameikopoulos@parliament.gr
http://www.meikopoulos.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Μεταξάς Δημητρίου Κωνσταντίνος Βασίλειος,ΜΑΓΝΗΣΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μηταράκης Αντωνίου Παναγιώτης (Νότης),ΧΙΟΥ,"contact@mitarakis.gr
http://www.mitarakis.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μητσοτάκης Κωνσταντίνου Κυριάκος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"kyriakos@parliament.gr
http://www.kmitsotakis.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Μιχαηλίδης Γ. Σταύρος,ΧΙΟΥ,st.michailidis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μιχαηλίδου Αριστείδη Δόμνα-Μαρία,Α' ΠΕΙΡΑΙΩΣ,"info@domna.gr
www.domna.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μονογυιού Μιχαήλ Αικατερίνη,ΚΥΚΛΑΔΩΝ,"katerinamonogiou@gmail.com
k.monogiou@parliament.gr
https://www.katerinamonogiou.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Μουλκιώτης Βασιλείου Γεώργιος,ΒΟΙΩΤΙΑΣ,"g.moulkiotis@parliament.gr
gmoulk@otenet.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπακογιάννη Κωνσταντίνου Θεοδώρα (Ντόρα),ΧΑΝΙΩΝ,"gram@dorabak.gr
chania@dorabak.gr
http://www.dorabak.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπαραλιάκος Ελευθερίου Ξενοφών (Φώντας),ΠΙΕΡΙΑΣ,"fbaraliakos.office@gmail.com
f.mparaliakos@parliament.gr
https://fontasbaraliakos.gr/"
ΑΝΕΞΑΡΤΗΤΟΙ,Μπαράν Νετζαντή Μπουρχάν,ΞΑΝΘΗΣ,m.mparan@parliament.gr
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Μπάρκας Θεοφάνη Κωνσταντίνος,ΠΡΕΒΕΖΑΣ,"barkas@parliament.gr
barkaskon@gmail.com
kostasbarkas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπαρτζώκας Στεργίου Αναστάσιος,ΗΜΑΘΙΑΣ,"tasosbartzokas@gmail.com
a.mpartzokas@parliament.gr
http://tasosbartzokas.blogspot.com/"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Μπιάγκης Σπυρίδωνος Δημήτριος,ΚΕΡΚΥΡΑΣ,dimitrisbiaghis@gmail.com
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Μπιμπίλας Κωνσταντίνου Σπυρίδων,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπούγας Δημητρίου Ιωάννης,ΦΩΚΙΔΑΣ,"j.bougas@parliament.gr
mpougas1@otenet.gr
http://www.ibougas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπουκώρος Γεωργίου Χρήστος,ΜΑΓΝΗΣΙΑΣ,"boukoros.office@gmail.com
chboukoros@gmail.com"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Μπούμπας Ιωάννη Κωνσταντίνος,ΣΕΡΡΩΝ,mpoumpask@hotmail.com
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Μπούρας Κωνσταντίνου Αθανάσιος,Β΄ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,"bouras@parliament.gr
http://www.bouras.gr/"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Νατσιός Ιωάννη Δημήτριος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"d.natsios@parliament.gr
nikh@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Νικητιάδης Νικολάου Γεώργιος,ΔΩΔΕΚΑΝΗΣΟΥ,"nikitiades@parliament.gr
www.nikitiades.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Νικολαϊδης Γεωργίου Αναστάσιος (Τάσος),ΔΡΑΜΑΣ,"t.nikolaidis@parliament.gr
www.nikolaidistasos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Νικολακόπουλος Θεοδώρου Ανδρέας,ΗΛΕΙΑΣ,"a.nikolakopoulos@parliament.gr
https://andreasnikolakopoulos.gr/"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Νοτοπούλου Παναγιώτη Αικατερίνη (Κατερίνα),Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"k.notopoulou@parliament.gr
https://katerinanotopoulou.gr/"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Ξανθόπουλος Σάββα Θεόφιλος,ΔΡΑΜΑΣ,"theophilosxanthopoulos@gmail.com
th.xanthopoulos@parliament.gr
http://www.xanthopoulostheofilos.gr"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Οικονομόπουλος Παναγιώτη Τάσος,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"t.oikonomopoulos@parliament.gr
nikh@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Οικονόμου Αθανασίου Βασίλειος,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"b.oikonomou@parliament.gr
http://www.oikonomoub.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Οικονόμου Γεωργίου Θωμαΐς (Τζίνα),ΕΥΡΥΤΑΝΙΑΣ,"contact@thomaisoikonomou.gr
https://www.thomaisoikonomou.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Οικονόμου Δημητρίου Ιωάννης,ΦΘΙΩΤΙΔΑΣ,yoikonomou@gmail.com
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Παναγιωτόπουλος Αντωνίου Ανδρέας,ΑΧΑΪΑΣ,":
a.panagiotopoulos@parliament.gr
an.panagiotopoulos.mpoffice@gmail.com
https://andreaspanagiotopoulos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παναγιωτόπουλος Ιωάννη Νικόλαος,ΚΑΒΑΛΑΣ,"nikos.i.panagiotopoulos@gmail.com
npanagiotopoulos@parliament.gr
http://www.npanagiotopoulos.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Πάνας Νικολάου Απόστολος,ΧΑΛΚΙΔΙΚΗΣ,"a.panas@parliament.gr
http://www.apostolospanas.gr/"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Παπαδάκης Χρήστου Παράσχος,ΕΒΡΟΥ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπαδόπουλος Γεωργίου Μιχάλης,ΚΟΖΑΝΗΣ,mpapadopoulos.nd@gmail.com
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Παπαδόπουλος Δημητρίου Νικόλαος,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"ndpapadopoulos@parliament.gr
nikh@parliament.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Παπαηλιού Ηλία Γεώργιος,ΑΡΚΑΔΙΑΣ,"g.papailiou@parliament.gr
papailiu@otenet.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπαθανάσης Δαμιανού Αθανάσιος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,"thanasispapathanasis@gmail.com
apapathanasis.aitwl@gmail.com
https://papathanasis.com/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπαθανάσης Χρήστου Νικόλαος (Νίκος),Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"info@nikospapathanasis.gr
http://www.nikospapathanasis.gr/"
ΑΝΕΞΑΡΤΗΤΟΙ,Παπαϊωάννου Ιωάννη Αρετή,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπακώστα - Παλιούρα Δημητρίου Αικατερίνη (Κατερίνα),ΤΡΙΚΑΛΩΝ,"info@papakostakaterina.gr
k.papakosta@parliament.gr
https://www.papakostakaterina.gr/"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Παπαναστάσης Αθανασίου Νικόλαος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,n.papanastasis@parliament.gr
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Παπανδρέου Ανδρέα Γεώργιος,ΑΧΑΪΑΣ,http://www.papandreou.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπάς Αστερίου Θεοφάνης (Φάνης),Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@fanispapas.gr
www.fanispapas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παπασωτηρίου Γεωργίου Σταύρος,ΦΛΩΡΙΝΑΣ,"st.papasotiriou@parliament.gr
papasotirioustav@gmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Παππάς Κωνσταντίνου Ιωάννης,ΔΩΔΕΚΑΝΗΣΟΥ,"ioannis.pappas@parliament.gr
pappas12.nd@gmail.com"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Παππάς Στυλιανού Νικόλαος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"npappas@parliament.gr
http://npappas.gr/"
ΑΝΕΞΑΡΤΗΤΟΙ,Παππάς Μιχαήλ Πέτρος,ΚΙΛΚΙΣ,"p.pappas@parliament.gr
Petrospappas306@gmail.com
www.petrospappas.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Παρασκευαΐδης Χαριλάου Παναγιώτης,ΛΕΣΒΟΥ,
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Παραστατίδης Θεοδώρου Στέφανος,ΚΙΛΚΙΣ,"st.parastatidis@parliament.gr
www.parastatidis-stefanos.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Παρασύρης Γεωργίου Φραγκίσκος (Φρέντυ),ΗΡΑΚΛΕΙΟΥ,"parasiriseu@gmail.com
fparasiris@parliament.gr
http://www.fparasiris.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Πασχαλίδης Αδάμ Ιωάννης,ΚΑΒΑΛΑΣ,"i.paschalidis@parliament.gr
giannispasxalidis@gmail.com
http://giannispasxalidis.blogspot.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Παφίλης Σπυρίδωνα Αθανάσιος,ΕΠΙΚΡΑΤΕΙΑΣ,tpafilis@parliament.gr
ΝΕΑ ΑΡΙΣΤΕΡΑ,Πέρκα Χαράλαμπου Θεοπίστη (Πέτη),ΦΛΩΡΙΝΑΣ,p.perka@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Πέτσας Λεωνίδα Στυλιανός (Στέλιος),Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,info@stelios-petsas.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Πιερρακάκης Στεφάνου Κυριάκος,Α' ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Πλακιωτάκης Ιωσήφ Ιωάννης,ΛΑΣΙΘΙΟΥ,"vice.president_a@parliament.gr
plakiotakisgiannis@gmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Πλεύρης Κωνσταντίνου Αθανάσιος,Α' ΑΘΗΝΩΝ,"thanosplevris@parliament.gr
www.thanosplevris.gr"
